group,location,word,wordNum,file
1,2,bat,2,bat.mp4
2,4,wipe,8,wipe.mp4
3,4,chin,12,chin.mp4
4,2,talk,14,talk.mp4
5,2,bug,18,bug.mp4
6,1,kick,21,kick.mp4
7,2,right,26,right.mp4
8,4,your,32,your.mp4
9,4,watch,36,watch.mp4
10,1,jug,37,jug.mp4
11,3,cheek,43,cheek.mp4
12,2,call,46,call.mp4
1,3,cat,3,cat.mp4
2,2,wise,6,wise.mp4
3,2,tin,10,tin.mp4
4,1,stork,13,stork.mp4
5,1,bun,17,bun.mp4
6,4,pick,24,pick.mp4
7,4,night,28,night.mp4
8,3,war,31,war.mp4
9,3,want,35,want.mp4
10,2,drug,38,drug.mp4
11,1,cheap,41,cheap.mp4
12,4,core,48,core.mp4
1,1,mat,1,mat.mp4
2,3,white,7,white.mp4
3,1,fin,9,fin.mp4
4,3,chalk,15,chalk.mp4
5,4,buzz,20,buzz.mp4
6,2,tick,22,tick.mp4
7,3,light,27,light.mp4
8,1,law,29,law.mp4
9,2,wash,34,wash.mp4
10,4,mug,40,mug.mp4
11,4,cheese,44,cheese.mp4
12,1,caught,45,caught.mp4
1,4,fat,4,fat.mp4
2,1,wine,5,wine.mp4
3,3,shin,11,shin.mp4
4,4,fork,16,fork.mp4
5,3,bud,19,bud.mp4
6,3,thick,23,thick.mp4
7,1,white,25,white.mp4
8,2,raw,30,raw.mp4
9,1,what,33,what.mp4
10,3,bug,39,bug.mp4
11,2,cheat,42,cheat.mp4
12,3,corn,47,corn.mp4
