group,location,word,wordNum,file
1,4,mouse,4,mouse.mp4
2,2,hen,6,hen.mp4
3,1,fan,9,fan.mp4
4,3,feet,15,feet.mp4
5,1,pig,17,pig.mp4
6,2,ball,22,ball.mp4
7,3,spoon,27,spoon.mp4
8,3,kite,31,kite.mp4
9,4,dog,36,dog.mp4
10,2,duck,38,duck.mp4
1,3,house,3,house.mp4
2,4,egg,8,egg.mp4
3,3,cat,11,cat.mp4
4,1,key,13,key.mp4
5,2,chick,18,chick.mp4
6,4,door,24,door.mp4
7,1,shoe,25,shoe.mp4
8,2,pie,30,pie.mp4
9,1,sock,33,sock.mp4
10,1,jug,37,jug.mp4
1,2,owl,2,owl.mp4
2,3,peg,7,peg.mp4
3,4,hat,12,hat.mp4
4,2,three,14,three.mp4
5,4,ship,20,ship.mp4
6,1,horse,21,horse.mp4
7,2,moon,26,moon.mp4
8,1,pipe,29,pipe.mp4
9,3,doll,35,doll.mp4
10,3,bus,39,bus.mp4
1,1,cow,1,cow.mp4
2,1,bed,5,bed.mp4
3,2,man,10,man.mp4
4,4,sheep,16,sheep.mp4
5,3,fish,19,fish.mp4
6,3,fork,23,fork.mp4
7,4,food,28,food.mp4
8,4,five,32,five.mp4
9,2,cot,34,cot.mp4
10,4,cup,40,cup.mp4
